,Year,Month,Day,Start_Hour,End_Hour,Price
113,2016.0,9.0,5.0,17.0,18.0,16.21252
114,2016.0,9.0,5.0,18.0,19.0,20.69796
115,2016.0,9.0,5.0,11.0,12.0,28.0564
116,2016.0,9.0,5.0,8.0,9.0,27.14381
117,2016.0,9.0,6.0,4.0,5.0,37.49425
118,2016.0,9.0,5.0,13.0,14.0,29.91561
119,2016.0,9.0,6.0,6.0,7.0,30.59487
120,2016.0,9.0,6.0,19.0,20.0,29.31754
121,2016.0,9.0,6.0,14.0,15.0,34.45871
122,2016.0,9.0,6.0,9.0,10.0,27.75583
123,2016.0,9.0,6.0,15.0,16.0,27.94574
124,2016.0,9.0,6.0,17.0,18.0,23.98929
125,2016.0,9.0,6.0,18.0,19.0,25.77657
126,2016.0,9.0,6.0,22.0,23.0,33.91696
127,2016.0,9.0,7.0,2.0,3.0,53.03108
128,2016.0,9.0,7.0,6.0,7.0,33.26998
129,2016.0,9.0,6.0,11.0,12.0,29.29777
130,2016.0,9.0,6.0,10.0,11.0,28.0171
131,2016.0,9.0,6.0,13.0,14.0,35.77983
132,2016.0,9.0,7.0,0.0,1.0,42.91593
133,2016.0,9.0,7.0,1.0,2.0,49.47997
134,2016.0,9.0,7.0,3.0,4.0,48.32638
135,2016.0,9.0,6.0,12.0,13.0,32.69681
136,2016.0,9.0,6.0,16.0,17.0,23.49325
137,2016.0,9.0,7.0,5.0,6.0,35.9268
138,2016.0,9.0,6.0,8.0,9.0,29.07987
139,2016.0,9.0,6.0,21.0,22.0,32.09973
140,2016.0,9.0,6.0,23.0,0.0,37.41586
141,2016.0,9.0,7.0,4.0,5.0,40.09674
142,2016.0,9.0,6.0,7.0,8.0,29.69955
143,2016.0,9.0,6.0,20.0,21.0,30.81247
144,2016.0,9.0,7.0,10.0,11.0,28.52454
145,2016.0,9.0,7.0,11.0,12.0,30.07506
146,2016.0,9.0,8.0,6.0,7.0,32.19854
147,2016.0,9.0,7.0,23.0,0.0,40.80894
148,2016.0,9.0,7.0,13.0,14.0,34.72152
149,2016.0,9.0,8.0,5.0,6.0,35.29843
150,2016.0,9.0,7.0,20.0,21.0,31.86023
151,2016.0,9.0,7.0,22.0,23.0,36.76925
