INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,Price
2016-09-12T21:15:00-00:00,2016-09-12T21:30:00-00:00,2016-09-12,15,20.10456
2016-09-12T21:30:00-00:00,2016-09-12T21:45:00-00:00,2016-09-12,15,20.82238
2016-09-12T21:45:00-00:00,2016-09-12T22:00:00-00:00,2016-09-12,15,20.91494
2016-09-12T22:00:00-00:00,2016-09-12T22:15:00-00:00,2016-09-12,16,22.06202
2016-09-12T22:15:00-00:00,2016-09-12T22:30:00-00:00,2016-09-12,16,21.93809
2016-09-12T22:30:00-00:00,2016-09-12T22:45:00-00:00,2016-09-12,16,22.63338
2016-09-12T22:45:00-00:00,2016-09-12T23:00:00-00:00,2016-09-12,16,23.00719
2016-09-12T23:00:00-00:00,2016-09-12T23:15:00-00:00,2016-09-12,17,21.19733
2016-09-12T23:15:00-00:00,2016-09-12T23:30:00-00:00,2016-09-12,17,22.22092
2016-09-12T23:30:00-00:00,2016-09-12T23:45:00-00:00,2016-09-12,17,22.09044
2016-09-12T23:45:00-00:00,2016-09-13T00:00:00-00:00,2016-09-12,17,22.58881
2016-09-13T00:00:00-00:00,2016-09-13T00:15:00-00:00,2016-09-12,18,21.05448
2016-09-13T00:15:00-00:00,2016-09-13T00:30:00-00:00,2016-09-12,18,22.05921
2016-09-13T00:30:00-00:00,2016-09-13T00:45:00-00:00,2016-09-12,18,24.17714
2016-09-13T00:45:00-00:00,2016-09-13T01:00:00-00:00,2016-09-12,18,24.17913
2016-09-13T01:00:00-00:00,2016-09-13T01:15:00-00:00,2016-09-12,19,22.74725
2016-09-13T01:15:00-00:00,2016-09-13T01:30:00-00:00,2016-09-12,19,24.18805
2016-09-13T01:30:00-00:00,2016-09-13T01:45:00-00:00,2016-09-12,19,25.20244
2016-09-13T01:45:00-00:00,2016-09-13T02:00:00-00:00,2016-09-12,19,25.55388
2016-09-13T02:00:00-00:00,2016-09-13T02:15:00-00:00,2016-09-12,20,32.69413
2016-09-13T02:15:00-00:00,2016-09-13T02:30:00-00:00,2016-09-12,20,43.10846
2016-09-13T02:30:00-00:00,2016-09-13T02:45:00-00:00,2016-09-12,20,59.31301
2016-09-13T02:45:00-00:00,2016-09-13T03:00:00-00:00,2016-09-12,20,32.41452
2016-09-13T03:00:00-00:00,2016-09-13T03:15:00-00:00,2016-09-12,21,53.39638
2016-09-13T03:15:00-00:00,2016-09-13T03:30:00-00:00,2016-09-12,21,40.87168
2016-09-13T03:30:00-00:00,2016-09-13T03:45:00-00:00,2016-09-12,21,33.3443
2016-09-13T03:45:00-00:00,2016-09-13T04:00:00-00:00,2016-09-12,21,29.20338
2016-09-13T04:00:00-00:00,2016-09-13T04:15:00-00:00,2016-09-12,22,37.86315
2016-09-13T04:15:00-00:00,2016-09-13T04:30:00-00:00,2016-09-12,22,33.34466
2016-09-13T04:30:00-00:00,2016-09-13T04:45:00-00:00,2016-09-12,22,26.40555
2016-09-13T04:45:00-00:00,2016-09-13T05:00:00-00:00,2016-09-12,22,23.20956
2016-09-13T05:00:00-00:00,2016-09-13T05:15:00-00:00,2016-09-12,23,34.98396
2016-09-13T05:15:00-00:00,2016-09-13T05:30:00-00:00,2016-09-12,23,28.37339
2016-09-13T05:30:00-00:00,2016-09-13T05:45:00-00:00,2016-09-12,23,25.19396
2016-09-13T05:45:00-00:00,2016-09-13T06:00:00-00:00,2016-09-12,23,23.4602
2016-09-13T06:00:00-00:00,2016-09-13T06:15:00-00:00,2016-09-12,24,26.97272
2016-09-13T06:15:00-00:00,2016-09-13T06:30:00-00:00,2016-09-12,24,24.50603
2016-09-13T06:30:00-00:00,2016-09-13T06:45:00-00:00,2016-09-12,24,23.20907
2016-09-13T06:45:00-00:00,2016-09-13T07:00:00-00:00,2016-09-12,24,20.64824
