,Price,Frequency
201,28.11637,72.8859060403
202,28.13234,72.7516778523
203,28.16371,72.6174496644
204,28.16634,72.4832214765
205,28.18717,72.3489932886
206,28.1967,72.2147651007
207,28.2011,72.0805369128
208,28.20603,71.9463087248
209,28.23559,71.8120805369
210,28.26998,71.677852349
211,28.28297,71.5436241611
212,28.28401,71.4093959732
213,28.29731,71.2751677852
214,28.30502,71.1409395973
215,28.30694,71.0067114094
216,28.31025,70.8724832215
217,28.31264,70.7382550336
218,28.32841,70.6040268456
219,28.36832,70.4697986577
220,28.38313,70.3355704698
221,28.38959,70.2013422819
222,28.42969,70.067114094
223,28.43036,69.932885906
224,28.46426,69.7986577181
225,28.48202,69.6644295302
226,28.48348,69.5302013423
227,28.4861,69.3959731544
228,28.49226,69.2617449664
229,28.49642,69.1275167785
230,28.5212,68.9932885906
231,28.52564,68.8590604027
232,28.5426,68.7248322148
233,28.5451,68.5906040268
234,28.5603,68.4563758389
235,28.61969,68.322147651
236,28.63389,68.1879194631
237,28.65293,68.0536912752
238,28.65466,67.9194630872
239,28.67898,67.7852348993
240,28.68803,67.6510067114
241,28.69948,67.5167785235
242,28.73998,67.3825503356
243,28.7415,67.2483221477
244,28.7615,67.1140939597
245,28.78965,66.9798657718
246,28.80125,66.8456375839
247,28.8075,66.711409396
248,28.82934,66.5771812081
249,28.85943,66.4429530201
250,28.87785,66.3087248322
251,28.92924,66.1744966443
252,28.93343,66.0402684564
253,28.96363,65.9060402685
254,28.9808,65.7718120805
255,28.98202,65.6375838926
256,28.98706,65.5033557047
257,29.00315,65.3691275168
258,29.02942,65.2348993289
259,29.04578,65.1006711409
260,29.0565,64.966442953
261,29.09891,64.8322147651
262,29.10054,64.6979865772
263,29.15578,64.5637583893
264,29.15663,64.4295302013
265,29.15849,64.2953020134
266,29.25145,64.1610738255
267,29.26514,64.0268456376
268,29.27876,63.8926174497
269,29.3082,63.7583892617
270,29.30982,63.6241610738
271,29.33194,63.4899328859
272,29.35351,63.355704698
273,29.36232,63.2214765101
274,29.37978,63.0872483221
275,29.40954,62.9530201342
276,29.41921,62.8187919463
277,29.43323,62.6845637584
278,29.43542,62.5503355705
279,29.4776,62.4161073826
280,29.48262,62.2818791946
281,29.5214,62.1476510067
282,29.55827,62.0134228188
283,29.56171,61.8791946309
284,29.58386,61.744966443
285,29.60252,61.610738255
286,29.60263,61.4765100671
287,29.61,61.3422818792
288,29.61771,61.2080536913
289,29.64734,61.0738255034
290,29.71709,60.9395973154
291,29.73143,60.8053691275
292,29.74188,60.6711409396
293,29.75243,60.5369127517
294,29.78293,60.4026845638
295,29.79565,60.2684563758
296,29.82369,60.1342281879
297,29.84287,60.0
298,29.8816,59.8657718121
299,29.88513,59.7315436242
300,29.8961,59.5973154362
301,29.89976,59.4630872483
302,29.91439,59.3288590604
303,29.957,59.1946308725
304,29.96574,59.0604026846
305,29.99607,58.9261744966
306,29.99915,58.7919463087
307,29.99943,58.6577181208
308,30.00216,58.5234899329
309,30.0476,58.389261745
310,30.06498,58.255033557
311,30.08588,58.1208053691
312,30.11317,57.9865771812
313,30.12332,57.8523489933
314,30.13137,57.7181208054
315,30.1394,57.5838926174
316,30.15344,57.4496644295
317,30.15378,57.3154362416
318,30.20249,57.1812080537
319,30.22426,57.0469798658
320,30.2356,56.9127516779
321,30.30396,56.7785234899
322,30.34592,56.644295302
323,30.36356,56.5100671141
324,30.38688,56.3758389262
325,30.39396,56.2416107383
326,30.41216,56.1073825503
327,30.44975,55.9731543624
328,30.51248,55.8389261745
329,30.52561,55.7046979866
330,30.53368,55.5704697987
331,30.55732,55.4362416107
332,30.56444,55.3020134228
333,30.65522,55.1677852349
334,30.66972,55.033557047
335,30.68673,54.8993288591
336,30.68957,54.7651006711
337,30.71261,54.6308724832
338,30.75688,54.4966442953
339,30.77351,54.3624161074
340,30.82384,54.2281879195
341,30.87304,54.0939597315
342,30.87527,53.9597315436
343,30.90915,53.8255033557
344,30.97126,53.6912751678
345,30.97178,53.5570469799
346,30.98638,53.4228187919
347,31.01677,53.288590604
348,31.04026,53.1543624161
349,31.04718,53.0201342282
350,31.05232,52.8859060403
351,31.05647,52.7516778523
352,31.06922,52.6174496644
353,31.13469,52.4832214765
354,31.13927,52.3489932886
355,31.15959,52.2147651007
356,31.25092,52.0805369128
357,31.25481,51.9463087248
358,31.27732,51.8120805369
359,31.29886,51.677852349
360,31.32752,51.5436241611
361,31.32827,51.4093959732
362,31.36981,51.2751677852
363,31.40981,51.1409395973
364,31.41,51.0067114094
365,31.43834,50.8724832215
366,31.47829,50.7382550336
367,31.48039,50.6040268456
368,31.49621,50.4697986577
369,31.51527,50.3355704698
370,31.51536,50.2013422819
371,31.5493,50.067114094
372,31.55704,49.932885906
373,31.59269,49.7986577181
374,31.6071,49.6644295302
375,31.61923,49.5302013423
376,31.67652,49.3959731544
377,31.67996,49.2617449664
378,31.76953,49.1275167785
379,31.81799,48.9932885906
380,31.83937,48.8590604027
381,31.84142,48.7248322148
382,31.8457,48.5906040268
383,31.84679,48.4563758389
384,31.85686,48.322147651
385,31.87735,48.1879194631
386,31.87952,48.0536912752
387,31.89623,47.9194630872
388,31.89983,47.7852348993
389,31.99276,47.6510067114
390,32.00736,47.5167785235
391,32.01092,47.3825503356
392,32.01589,47.2483221477
393,32.01828,47.1140939597
394,32.05074,46.9798657718
395,32.0788,46.8456375839
396,32.08148,46.711409396
397,32.1291,46.5771812081
398,32.14432,46.4429530201
399,32.18411,46.3087248322
400,32.25895,46.1744966443
401,32.29519,46.0402684564
402,32.33903,45.9060402685
403,32.43841,45.7718120805
404,32.45269,45.6375838926
405,32.45976,45.5033557047
406,32.48386,45.3691275168
407,32.49548,45.2348993289
408,32.52076,45.1006711409
409,32.52264,44.966442953
410,32.55167,44.8322147651
411,32.58531,44.6979865772
412,32.60876,44.5637583893
413,32.62109,44.4295302013
414,32.63037,44.2953020134
415,32.64991,44.1610738255
416,32.74211,44.0268456376
417,32.74381,43.8926174497
418,32.74456,43.7583892617
419,32.7604,43.6241610738
420,32.76797,43.4899328859
421,32.78713,43.355704698
422,32.82188,43.2214765101
423,32.86003,43.0872483221
424,32.86128,42.9530201342
425,32.86999,42.8187919463
426,33.00265,42.6845637584
427,33.04206,42.5503355705
428,33.11633,42.4161073826
429,33.13172,42.2818791946
430,33.13704,42.1476510067
431,33.1511,42.0134228188
432,33.15985,41.8791946309
433,33.23576,41.744966443
434,33.24707,41.610738255
435,33.2539,41.4765100671
436,33.25842,41.3422818792
437,33.26723,41.2080536913
438,33.26914,41.0738255034
439,33.29156,40.9395973154
440,33.30074,40.8053691275
441,33.30259,40.6711409396
442,33.32019,40.5369127517
443,33.32709,40.4026845638
444,33.34051,40.2684563758
445,33.44217,40.1342281879
446,33.47359,40.0
447,33.49276,39.8657718121
448,33.50613,39.7315436242
449,33.52432,39.5973154362
450,33.6458,39.4630872483
451,33.6567,39.3288590604
452,33.69487,39.1946308725
453,33.7831,39.0604026846
454,33.92461,38.9261744966
455,33.9526,38.7919463087
456,34.00911,38.6577181208
457,34.02476,38.5234899329
458,34.09008,38.389261745
459,34.10286,38.255033557
460,34.14315,38.1208053691
461,34.15336,37.9865771812
462,34.18191,37.8523489933
463,34.19964,37.7181208054
464,34.28707,37.5838926174
