INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2016-09-01T18:00:00-00:00,2016-09-01T19:00:00-00:00,9/1/2016,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,26.88195,1
2016-09-01T09:00:00-00:00,2016-09-01T10:00:00-00:00,9/1/2016,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-09-01T20:00:00-00:00,2016-09-01T21:00:00-00:00,9/1/2016,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-3.04342,2
2016-09-02T05:00:00-00:00,2016-09-02T06:00:00-00:00,9/1/2016,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-09-01T23:00:00-00:00,2016-09-02T00:00:00-00:00,9/1/2016,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-0.02238,2
2016-09-01T07:00:00-00:00,2016-09-01T08:00:00-00:00,9/1/2016,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-09-01T21:00:00-00:00,2016-09-01T22:00:00-00:00,9/1/2016,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-2.72099,2
2016-09-01T18:00:00-00:00,2016-09-01T19:00:00-00:00,9/1/2016,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-3.78482,2
2016-09-01T11:00:00-00:00,2016-09-01T12:00:00-00:00,9/1/2016,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-09-02T06:00:00-00:00,2016-09-02T07:00:00-00:00,9/1/2016,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-09-02T03:00:00-00:00,2016-09-02T04:00:00-00:00,9/1/2016,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,11.84895,2
2016-09-02T00:00:00-00:00,2016-09-02T01:00:00-00:00,9/1/2016,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,4.30423,2
2016-09-01T19:00:00-00:00,2016-09-01T20:00:00-00:00,9/1/2016,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-3.77958,2
2016-09-01T16:00:00-00:00,2016-09-01T17:00:00-00:00,9/1/2016,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-4.34525,2
2016-09-01T14:00:00-00:00,2016-09-01T15:00:00-00:00,9/1/2016,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-0.92207,2
2016-09-01T12:00:00-00:00,2016-09-01T13:00:00-00:00,9/1/2016,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-09-02T02:00:00-00:00,2016-09-02T03:00:00-00:00,9/1/2016,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,6.83249,2
2016-09-01T10:00:00-00:00,2016-09-01T11:00:00-00:00,9/1/2016,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-09-01T15:00:00-00:00,2016-09-01T16:00:00-00:00,9/1/2016,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-2.50022,2
2016-09-02T01:00:00-00:00,2016-09-02T02:00:00-00:00,9/1/2016,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,8.48404,2
2016-09-02T04:00:00-00:00,2016-09-02T05:00:00-00:00,9/1/2016,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-09-01T22:00:00-00:00,2016-09-01T23:00:00-00:00,9/1/2016,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,1.72142,2
2016-09-01T17:00:00-00:00,2016-09-01T18:00:00-00:00,9/1/2016,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-5.04041,2
2016-09-01T13:00:00-00:00,2016-09-01T14:00:00-00:00,9/1/2016,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-0.02442,2
2016-09-01T08:00:00-00:00,2016-09-01T09:00:00-00:00,9/1/2016,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-09-01T16:00:00-00:00,2016-09-01T17:00:00-00:00,9/1/2016,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,27.37349,3
2016-09-01T09:00:00-00:00,2016-09-01T10:00:00-00:00,9/1/2016,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,28.6209,3
2016-09-01T22:00:00-00:00,2016-09-01T23:00:00-00:00,9/1/2016,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,36.76481,3
2016-09-02T05:00:00-00:00,2016-09-02T06:00:00-00:00,9/1/2016,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,36.05245,3
2016-09-01T21:00:00-00:00,2016-09-01T22:00:00-00:00,9/1/2016,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,35.64247,3
2016-09-01T20:00:00-00:00,2016-09-01T21:00:00-00:00,9/1/2016,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,33.25955,3
2016-09-01T08:00:00-00:00,2016-09-01T09:00:00-00:00,9/1/2016,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,26.55081,3
2016-09-01T19:00:00-00:00,2016-09-01T20:00:00-00:00,9/1/2016,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,32.09507,3
2016-09-01T11:00:00-00:00,2016-09-01T12:00:00-00:00,9/1/2016,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,29.21124,3
2016-09-02T01:00:00-00:00,2016-09-02T02:00:00-00:00,9/1/2016,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,51.89783,3
2016-09-01T18:00:00-00:00,2016-09-01T19:00:00-00:00,9/1/2016,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,31.86157,3
2016-09-01T14:00:00-00:00,2016-09-01T15:00:00-00:00,9/1/2016,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,34.00202,3
2016-09-01T17:00:00-00:00,2016-09-01T18:00:00-00:00,9/1/2016,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,28.31051,3
2016-09-01T15:00:00-00:00,2016-09-01T16:00:00-00:00,9/1/2016,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,29.7649,3
2016-09-01T10:00:00-00:00,2016-09-01T11:00:00-00:00,9/1/2016,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,28.66755,3
2016-09-02T06:00:00-00:00,2016-09-02T07:00:00-00:00,9/1/2016,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,32.30692,3
2016-09-01T23:00:00-00:00,2016-09-02T00:00:00-00:00,9/1/2016,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,40.92802,3
2016-09-01T12:00:00-00:00,2016-09-01T13:00:00-00:00,9/1/2016,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,33.56835,3
2016-09-01T07:00:00-00:00,2016-09-01T08:00:00-00:00,9/1/2016,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,28.84354,3
2016-09-02T04:00:00-00:00,2016-09-02T05:00:00-00:00,9/1/2016,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,38.44211,3
2016-09-02T02:00:00-00:00,2016-09-02T03:00:00-00:00,9/1/2016,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,51.70598,3
2016-09-02T00:00:00-00:00,2016-09-02T01:00:00-00:00,9/1/2016,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,46.44618,3
2016-09-02T03:00:00-00:00,2016-09-02T04:00:00-00:00,9/1/2016,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,46.57345,3
2016-09-01T13:00:00-00:00,2016-09-01T14:00:00-00:00,9/1/2016,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,33.98556,3
2016-09-01T23:00:00-00:00,2016-09-02T00:00:00-00:00,9/1/2016,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-1.51024,4
2016-09-01T11:00:00-00:00,2016-09-01T12:00:00-00:00,9/1/2016,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.59591,4
2016-09-01T10:00:00-00:00,2016-09-01T11:00:00-00:00,9/1/2016,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.53895,4
2016-09-01T13:00:00-00:00,2016-09-01T14:00:00-00:00,9/1/2016,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.6967,4
2016-09-02T03:00:00-00:00,2016-09-02T04:00:00-00:00,9/1/2016,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.86627,4
2016-09-01T07:00:00-00:00,2016-09-01T08:00:00-00:00,9/1/2016,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.53937,4
2016-09-01T14:00:00-00:00,2016-09-01T15:00:00-00:00,9/1/2016,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.88065,4
2016-09-01T15:00:00-00:00,2016-09-01T16:00:00-00:00,9/1/2016,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.88997,4
2016-09-01T18:00:00-00:00,2016-09-01T19:00:00-00:00,9/1/2016,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-1.19481,4
2016-09-02T05:00:00-00:00,2016-09-02T06:00:00-00:00,9/1/2016,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.63452,4
2016-09-02T06:00:00-00:00,2016-09-02T07:00:00-00:00,9/1/2016,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.60414,4
2016-09-01T20:00:00-00:00,2016-09-01T21:00:00-00:00,9/1/2016,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-1.33371,4
2016-09-02T02:00:00-00:00,2016-09-02T03:00:00-00:00,9/1/2016,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.9152,4
2016-09-02T04:00:00-00:00,2016-09-02T05:00:00-00:00,9/1/2016,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.72271,4
2016-09-01T12:00:00-00:00,2016-09-01T13:00:00-00:00,9/1/2016,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.65794,4
2016-09-01T16:00:00-00:00,2016-09-01T17:00:00-00:00,9/1/2016,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.90333,4
2016-09-02T00:00:00-00:00,2016-09-02T01:00:00-00:00,9/1/2016,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-1.44448,4
2016-09-01T08:00:00-00:00,2016-09-01T09:00:00-00:00,9/1/2016,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.48588,4
2016-09-01T19:00:00-00:00,2016-09-01T20:00:00-00:00,9/1/2016,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-1.22924,4
2016-09-01T21:00:00-00:00,2016-09-01T22:00:00-00:00,9/1/2016,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-1.47916,4
2016-09-02T01:00:00-00:00,2016-09-02T02:00:00-00:00,9/1/2016,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-1.08466,4
2016-09-01T09:00:00-00:00,2016-09-01T10:00:00-00:00,9/1/2016,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.54952,4
2016-09-01T17:00:00-00:00,2016-09-01T18:00:00-00:00,9/1/2016,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.97105,4
2016-09-01T22:00:00-00:00,2016-09-01T23:00:00-00:00,9/1/2016,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-1.2978,4
2016-09-02T15:00:00-00:00,2016-09-02T16:00:00-00:00,9/2/2016,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,27.70329,5
2016-09-02T17:00:00-00:00,2016-09-02T18:00:00-00:00,9/2/2016,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,26.83415,5
2016-09-03T05:00:00-00:00,2016-09-03T06:00:00-00:00,9/2/2016,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,34.19631,5
2016-09-02T12:00:00-00:00,2016-09-02T13:00:00-00:00,9/2/2016,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,31.22171,5
2016-09-02T16:00:00-00:00,2016-09-02T17:00:00-00:00,9/2/2016,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,26.50574,5
2016-09-03T00:00:00-00:00,2016-09-03T01:00:00-00:00,9/2/2016,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,36.6062,5
2016-09-03T01:00:00-00:00,2016-09-03T02:00:00-00:00,9/2/2016,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,46.5584,5
2016-09-02T08:00:00-00:00,2016-09-02T09:00:00-00:00,9/2/2016,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,27.64702,5
2016-09-02T11:00:00-00:00,2016-09-02T12:00:00-00:00,9/2/2016,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,28.33513,5
2016-09-02T10:00:00-00:00,2016-09-02T11:00:00-00:00,9/2/2016,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,27.75511,5
2016-09-02T18:00:00-00:00,2016-09-02T19:00:00-00:00,9/2/2016,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,27.64598,5
2016-09-02T23:00:00-00:00,2016-09-03T00:00:00-00:00,9/2/2016,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.63727,5
2016-09-03T02:00:00-00:00,2016-09-03T03:00:00-00:00,9/2/2016,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,45.61661,5
2016-09-03T04:00:00-00:00,2016-09-03T05:00:00-00:00,9/2/2016,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,35.53076,5
2016-09-02T14:00:00-00:00,2016-09-02T15:00:00-00:00,9/2/2016,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,31.67792,5
2016-09-02T19:00:00-00:00,2016-09-02T20:00:00-00:00,9/2/2016,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,27.93294,5
2016-09-02T09:00:00-00:00,2016-09-02T10:00:00-00:00,9/2/2016,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,27.62404,5
2016-09-02T13:00:00-00:00,2016-09-02T14:00:00-00:00,9/2/2016,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,32.71118,5
2016-09-03T06:00:00-00:00,2016-09-03T07:00:00-00:00,9/2/2016,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,30.41386,5
2016-09-02T07:00:00-00:00,2016-09-02T08:00:00-00:00,9/2/2016,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,28.56615,5
2016-09-02T20:00:00-00:00,2016-09-02T21:00:00-00:00,9/2/2016,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,28.6977,5
