INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,Price
2016-09-01T14:30:00-00:00,2016-09-01T14:45:00-00:00,2016-09-01,8,42.03541
2016-09-01T14:45:00-00:00,2016-09-01T15:00:00-00:00,2016-09-01,8,32.85573
2016-09-01T15:00:00-00:00,2016-09-01T15:15:00-00:00,2016-09-01,9,29.46685
2016-09-01T15:15:00-00:00,2016-09-01T15:30:00-00:00,2016-09-01,9,29.86054
2016-09-01T15:30:00-00:00,2016-09-01T15:45:00-00:00,2016-09-01,9,26.91784
2016-09-01T15:45:00-00:00,2016-09-01T16:00:00-00:00,2016-09-01,9,25.50988
2016-09-01T16:00:00-00:00,2016-09-01T16:15:00-00:00,2016-09-01,10,31.17711
2016-09-01T16:15:00-00:00,2016-09-01T16:30:00-00:00,2016-09-01,10,31.21068
2016-09-01T16:30:00-00:00,2016-09-01T16:45:00-00:00,2016-09-01,10,26.28971
2016-09-01T16:45:00-00:00,2016-09-01T17:00:00-00:00,2016-09-01,10,24.85385
2016-09-01T17:00:00-00:00,2016-09-01T17:15:00-00:00,2016-09-01,11,24.57306
2016-09-01T17:15:00-00:00,2016-09-01T17:30:00-00:00,2016-09-01,11,25.17106
2016-09-01T17:30:00-00:00,2016-09-01T17:45:00-00:00,2016-09-01,11,25.23203
2016-09-01T17:45:00-00:00,2016-09-01T18:00:00-00:00,2016-09-01,11,25.95637
2016-09-01T18:00:00-00:00,2016-09-01T18:15:00-00:00,2016-09-01,12,24.94981
2016-09-01T18:15:00-00:00,2016-09-01T18:30:00-00:00,2016-09-01,12,25.12372
2016-09-01T18:30:00-00:00,2016-09-01T18:45:00-00:00,2016-09-01,12,25.46766
2016-09-01T18:45:00-00:00,2016-09-01T19:00:00-00:00,2016-09-01,12,25.49461
2016-09-01T19:00:00-00:00,2016-09-01T19:15:00-00:00,2016-09-01,13,24.60953
2016-09-01T19:15:00-00:00,2016-09-01T19:30:00-00:00,2016-09-01,13,24.74138
2016-09-01T19:30:00-00:00,2016-09-01T19:45:00-00:00,2016-09-01,13,25.26859
2016-09-01T19:45:00-00:00,2016-09-01T20:00:00-00:00,2016-09-01,13,25.67399
2016-09-01T20:00:00-00:00,2016-09-01T20:15:00-00:00,2016-09-01,14,25.36884
2016-09-01T20:15:00-00:00,2016-09-01T20:30:00-00:00,2016-09-01,14,26.40124
2016-09-01T20:30:00-00:00,2016-09-01T20:45:00-00:00,2016-09-01,14,27.18764
2016-09-01T20:45:00-00:00,2016-09-01T21:00:00-00:00,2016-09-01,14,29.4165
2016-09-01T21:00:00-00:00,2016-09-01T21:15:00-00:00,2016-09-01,15,25.49125
2016-09-01T21:15:00-00:00,2016-09-01T21:30:00-00:00,2016-09-01,15,25.93718
2016-09-01T21:30:00-00:00,2016-09-01T21:45:00-00:00,2016-09-01,15,27.1415
2016-09-01T21:45:00-00:00,2016-09-01T22:00:00-00:00,2016-09-01,15,29.92828
2016-09-01T22:00:00-00:00,2016-09-01T22:15:00-00:00,2016-09-01,16,26.54839
2016-09-01T22:15:00-00:00,2016-09-01T22:30:00-00:00,2016-09-01,16,26.29643
2016-09-01T22:30:00-00:00,2016-09-01T22:45:00-00:00,2016-09-01,16,27.69111
2016-09-01T22:45:00-00:00,2016-09-01T23:00:00-00:00,2016-09-01,16,39.19586
2016-09-01T23:00:00-00:00,2016-09-01T23:15:00-00:00,2016-09-01,17,24.67393
2016-09-01T23:15:00-00:00,2016-09-01T23:30:00-00:00,2016-09-01,17,24.86015
2016-09-01T23:30:00-00:00,2016-09-01T23:45:00-00:00,2016-09-01,17,26.34676
2016-09-01T23:45:00-00:00,2016-09-02T00:00:00-00:00,2016-09-01,17,27.68818
2016-09-02T00:00:00-00:00,2016-09-02T00:15:00-00:00,2016-09-01,18,29.87343
2016-09-02T00:15:00-00:00,2016-09-02T00:30:00-00:00,2016-09-01,18,30.41223
2016-09-02T00:30:00-00:00,2016-09-02T00:45:00-00:00,2016-09-01,18,31.4732
2016-09-02T00:45:00-00:00,2016-09-02T01:00:00-00:00,2016-09-01,18,31.71618
2016-09-02T01:00:00-00:00,2016-09-02T01:15:00-00:00,2016-09-01,19,31.1592
2016-09-02T01:15:00-00:00,2016-09-02T01:30:00-00:00,2016-09-01,19,31.56701
2016-09-02T01:30:00-00:00,2016-09-02T01:45:00-00:00,2016-09-01,19,33.87052
2016-09-02T01:45:00-00:00,2016-09-02T02:00:00-00:00,2016-09-01,19,39.45828
2016-09-02T02:00:00-00:00,2016-09-02T02:15:00-00:00,2016-09-01,20,51.8348
2016-09-02T02:15:00-00:00,2016-09-02T02:30:00-00:00,2016-09-01,20,52.50935
2016-09-02T02:30:00-00:00,2016-09-02T02:45:00-00:00,2016-09-01,20,55.00926
2016-09-02T02:45:00-00:00,2016-09-02T03:00:00-00:00,2016-09-01,20,44.88575
2016-09-02T03:00:00-00:00,2016-09-02T03:15:00-00:00,2016-09-01,21,59.83598
2016-09-02T03:15:00-00:00,2016-09-02T03:30:00-00:00,2016-09-01,21,48.61076
2016-09-02T03:30:00-00:00,2016-09-02T03:45:00-00:00,2016-09-01,21,46.14338
2016-09-02T03:45:00-00:00,2016-09-02T04:00:00-00:00,2016-09-01,21,44.26522
2016-09-02T04:00:00-00:00,2016-09-02T04:15:00-00:00,2016-09-01,22,51.71852
2016-09-02T04:15:00-00:00,2016-09-02T04:30:00-00:00,2016-09-01,22,31.93308
2016-09-02T04:30:00-00:00,2016-09-02T04:45:00-00:00,2016-09-01,22,28.40448
2016-09-02T04:45:00-00:00,2016-09-02T05:00:00-00:00,2016-09-01,22,27.29238
2016-09-02T05:00:00-00:00,2016-09-02T05:15:00-00:00,2016-09-01,23,41.96394
2016-09-02T05:15:00-00:00,2016-09-02T05:30:00-00:00,2016-09-01,23,33.83381
2016-09-02T05:30:00-00:00,2016-09-02T05:45:00-00:00,2016-09-01,23,27.47641
2016-09-02T05:45:00-00:00,2016-09-02T06:00:00-00:00,2016-09-01,23,25.55346
2016-09-02T06:00:00-00:00,2016-09-02T06:15:00-00:00,2016-09-01,24,34.17158
2016-09-02T06:15:00-00:00,2016-09-02T06:30:00-00:00,2016-09-01,24,34.11406
2016-09-02T06:30:00-00:00,2016-09-02T06:45:00-00:00,2016-09-01,24,29.56204
2016-09-02T06:45:00-00:00,2016-09-02T07:00:00-00:00,2016-09-01,24,26.97133
