INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,Price
2016-09-01T07:00:00-00:00,2016-09-01T07:15:00-00:00,2016-09-01,1,26.34842
2016-09-01T07:15:00-00:00,2016-09-01T07:30:00-00:00,2016-09-01,1,25.08398
2016-09-01T07:30:00-00:00,2016-09-01T07:45:00-00:00,2016-09-01,1,23.44286
2016-09-01T07:45:00-00:00,2016-09-01T08:00:00-00:00,2016-09-01,1,20.99364
2016-09-01T08:00:00-00:00,2016-09-01T08:15:00-00:00,2016-09-01,2,26.34929
2016-09-01T08:15:00-00:00,2016-09-01T08:30:00-00:00,2016-09-01,2,25.47118
2016-09-01T08:30:00-00:00,2016-09-01T08:45:00-00:00,2016-09-01,2,25.20045
2016-09-01T08:45:00-00:00,2016-09-01T09:00:00-00:00,2016-09-01,2,23.87433
2016-09-01T09:00:00-00:00,2016-09-01T09:15:00-00:00,2016-09-01,3,25.55463
2016-09-01T09:15:00-00:00,2016-09-01T09:30:00-00:00,2016-09-01,3,24.9212
2016-09-01T09:30:00-00:00,2016-09-01T09:45:00-00:00,2016-09-01,3,23.57399
2016-09-01T09:45:00-00:00,2016-09-01T10:00:00-00:00,2016-09-01,3,23.33254
2016-09-01T10:00:00-00:00,2016-09-01T10:15:00-00:00,2016-09-01,4,23.69417
2016-09-01T10:15:00-00:00,2016-09-01T10:30:00-00:00,2016-09-01,4,23.67482
2016-09-01T10:30:00-00:00,2016-09-01T10:45:00-00:00,2016-09-01,4,23.50301
2016-09-01T10:45:00-00:00,2016-09-01T11:00:00-00:00,2016-09-01,4,23.6782
2016-09-01T11:00:00-00:00,2016-09-01T11:15:00-00:00,2016-09-01,5,24.92161
2016-09-01T11:15:00-00:00,2016-09-01T11:30:00-00:00,2016-09-01,5,25.23846
2016-09-01T11:30:00-00:00,2016-09-01T11:45:00-00:00,2016-09-01,5,26.30139
2016-09-01T11:45:00-00:00,2016-09-01T12:00:00-00:00,2016-09-01,5,25.5566
2016-09-01T12:00:00-00:00,2016-09-01T12:15:00-00:00,2016-09-01,6,25.16761
2016-09-01T12:15:00-00:00,2016-09-01T12:30:00-00:00,2016-09-01,6,26.61658
2016-09-01T12:30:00-00:00,2016-09-01T12:45:00-00:00,2016-09-01,6,28.96462
2016-09-01T12:45:00-00:00,2016-09-01T13:00:00-00:00,2016-09-01,6,32.65934
2016-09-01T13:00:00-00:00,2016-09-01T13:15:00-00:00,2016-09-01,7,29.77937
2016-09-01T13:15:00-00:00,2016-09-01T13:30:00-00:00,2016-09-01,7,32.43372
2016-09-01T13:30:00-00:00,2016-09-01T13:45:00-00:00,2016-09-01,7,33.97502
2016-09-01T13:45:00-00:00,2016-09-01T14:00:00-00:00,2016-09-01,7,33.97575
2016-09-01T14:00:00-00:00,2016-09-01T14:15:00-00:00,2016-09-01,8,40.88537
2016-09-01T14:15:00-00:00,2016-09-01T14:30:00-00:00,2016-09-01,8,38.19858
