902	4193	17144	20076	16940	24923	68459	68270	14468	3502	1664	777
757	2231	14474	19922	46946	51921	25383	12417	3439	1640	779	909
3749	4984	18646	77586	53874	123645	84874	98487	32661	8486	3211	2077
2234	3075	94946	114643	62240	158732	313221	98042	26006	8315	4220	3020
3914	5442	9169	10677	38795	40405	24013	15652	4375	1867	1019	927
2019	2069	4252	21541	26838	26754	22922	18227	4949	1430	1981	2169
1303	2596	3471	10699	33250	76134	32912	47975	6161	1917	877	591
1997	1613	6026	23252	29101	45487	64382	65790	38857	5625	1787	1222
5401	10977	121570	61370	55721	235789	129814	81157	57215	17307	4653	2764
3478	4189	3704	9762	6367	53442	74557	24098	6146	2880	1275	1154
1531	5415	69038	21192	15110	21352	20164	6774	2845	1201	640	664
