INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2015-09-01T02:00:00-00:00,2015-09-01T03:00:00-00:00,2015-08-31,20,0,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,DAM,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,43.10763,1
2015-09-01T06:00:00-00:00,2015-09-01T07:00:00-00:00,2015-08-31,24,0,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,DAM,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,31.41854,1
2015-09-01T01:00:00-00:00,2015-09-01T02:00:00-00:00,2015-08-31,19,0,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,DAM,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,45.25399,1
2015-09-01T05:00:00-00:00,2015-09-01T06:00:00-00:00,2015-08-31,23,0,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,DAM,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,35.19877,1
2015-09-01T00:00:00-00:00,2015-09-01T01:00:00-00:00,2015-08-31,18,0,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,DAM,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,43.30769,1
2015-09-01T04:00:00-00:00,2015-09-01T05:00:00-00:00,2015-08-31,22,0,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,DAM,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,37.31792,1
2015-09-01T03:00:00-00:00,2015-09-01T04:00:00-00:00,2015-08-31,21,0,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,DAM,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,39.97339,1
2015-09-01T02:00:00-00:00,2015-09-01T03:00:00-00:00,2015-08-31,20,0,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,DAM,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,0,2
2015-09-01T06:00:00-00:00,2015-09-01T07:00:00-00:00,2015-08-31,24,0,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,DAM,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,0,2
2015-09-01T04:00:00-00:00,2015-09-01T05:00:00-00:00,2015-08-31,22,0,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,DAM,MCC,LMP_CONG_PRC,LAPLMG1_7_B2,ALL,1,0,2
